impath,imdesc
/data/samplebooks/img/scaled/5515v.jpg,1
/data/samplebooks/img/scaled/3214c.jpg,2
/data/samplebooks/img/scaled/3197h.jpg,1
/data/samplebooks/img/scaled/2087yy.jpg,1
/data/samplebooks/img/scaled/5521x.jpg,1
/data/samplebooks/img/scaled/5505l.jpg,1
/data/samplebooks/img/scaled/2086d.jpg,1
/data/samplebooks/img/scaled/5414f.jpg,1
/data/samplebooks/img/scaled/1942m.jpg,1
/data/samplebooks/img/scaled/904i.jpg,3
/data/samplebooks/img/scaled/2609o.jpg,1
/data/samplebooks/img/scaled/5522rr.jpg,1
/data/samplebooks/img/scaled/5431n.jpg,1
/data/samplebooks/img/scaled/3215g.jpg,2
/data/samplebooks/img/scaled/5515c.jpg,2
/data/samplebooks/img/scaled/5496f.jpg,2
/data/samplebooks/img/scaled/5464f.jpg,1
/data/samplebooks/img/scaled/5507g.jpg,1
/data/samplebooks/img/scaled/3199w.jpg,1
/data/samplebooks/img/scaled/5205tt.jpg,1
/data/samplebooks/img/scaled/5521e.jpg,1
/data/samplebooks/img/scaled/2076l.jpg,1
/data/samplebooks/img/scaled/5463l.jpg,1
/data/samplebooks/img/scaled/5505w.jpg,1
/data/samplebooks/img/scaled/5303p.jpg,1
/data/samplebooks/img/scaled/5476n.jpg,1
/data/samplebooks/img/scaled/5000o.jpg,1
/data/samplebooks/img/scaled/5407h.jpg,2
/data/samplebooks/img/scaled/3196k.jpg,1
/data/samplebooks/img/scaled/5209t.jpg,9
/data/samplebooks/img/scaled/5537n.jpg,1
/data/samplebooks/img/scaled/5413x.jpg,2
/data/samplebooks/img/scaled/4791b.jpg,2
/data/samplebooks/img/scaled/5505i.jpg,1
/data/samplebooks/img/scaled/5537t.jpg,1
/data/samplebooks/img/scaled/901f.jpg,1
/data/samplebooks/img/scaled/2372u.jpg,1
/data/samplebooks/img/scaled/5484r.jpg,2
/data/samplebooks/img/scaled/5205ss.jpg,1
/data/samplebooks/img/scaled/5471i.jpg,1
/data/samplebooks/img/scaled/5492b.jpg,4
/data/samplebooks/img/scaled/2142d.jpg,2
/data/samplebooks/img/scaled/294q.jpg,2
/data/samplebooks/img/scaled/5209f.jpg,12
/data/samplebooks/img/scaled/1879o.jpg,1
/data/samplebooks/img/scaled/2077f.jpg,2
/data/samplebooks/img/scaled/5500aa.jpg,2
/data/samplebooks/img/scaled/875q.jpg,1
/data/samplebooks/img/scaled/5473d.jpg,2
/data/samplebooks/img/scaled/2073u.jpg,1
/data/samplebooks/img/scaled/5522l.jpg,1
/data/samplebooks/img/scaled/5529a.jpg,1
